id,name,highlight,description,image
1,HTML,false,Linguagem de marcação para estruturação de páginas web.,image.jpg
2,CSS,false,Linguagem de estilos para definição do design e layout das páginas web.,image.jpg
3,JavaScript,false,Linguagem de programação para interatividade em páginas web.,image.jpg
4,TypeScript,true,Superset do JavaScript que adiciona tipagem estática.,image.jpg
5,Node.js,true,Ambiente de execução JavaScript no lado do servidor.,image.jpg
6,Java,true,Linguagem de programação orientada a objetos.,image.jpg
7,Python,true,Linguagem de programação interpretada de alto nível.,image.jpg
8,NestJS,true,Framework para construção de aplicações back-end em Node.js.,image.jpg
9,Express.js,false,Framework web minimalista para Node.js.,image.jpg
10,React,true,Biblioteca JavaScript para construção de interfaces de usuário.,image.jpg
11,Vue.js,false,Framework progressivo para construção de interfaces de usuário.,image.jpg
12,Angular,false,Framework front-end desenvolvido pelo Google.,image.jpg
13,Svelte,false,Framework para construção de interfaces reativas.,image.jpg
14,PostgreSQL,false,Sistema de gerenciamento de banco de dados relacional avançado.,image.jpg
15,MongoDB,false,Banco de dados NoSQL orientado a documentos.,image.jpg
16,GraphQL,false,Linguagem de consulta para APIs que permite obter apenas os dados necessários.,image.jpg
17,Docker,false,"Plataforma para criação, execução e gerenciamento de containers.",image.jpg
18,Kubernetes,false,"Sistema para automação da implantação, escalonamento e operações de containers.",image.jpg
19,Terraform,false,Ferramenta de infraestrutura como código para gerenciamento de recursos na nuvem.,image.jpg
20,Firebase,false,Plataforma de desenvolvimento de aplicativos móveis e web da Google.,image.jpg
21,React Native,false,Biblioteca para desenvolvimento de aplicativos móveis com React.,image.jpg
22,Next.js,false,Framework React para construção de aplicações web.,image.jpg
23,Prisma,false,ORM para Node.js e TypeScript com suporte a diversos bancos de dados.,image.jpg
24,Supabase,false,Plataforma open-source para desenvolvimento de aplicativos web e APIs.,image.jpg
25,Tailwind CSS,false,Framework CSS para construção de interfaces de usuário.,image.jpg
26,Flutter,true,Framework para desenvolvimento de aplicativos móveis nativos.,image.jpg
27,PHP,false,Linguagem de programação de uso geral.,image.jpg
28,ChatGPT,false,API de conversação baseada em GPT-3.,image.jpg
29,Dart,false,Linguagem de programação para desenvolvimento de aplicativos móveis com Flutter.,image.jpg
